"Project","ScanDate","DependencyName","DependencyPath","Description","License","Md5","Sha1","Identifiers","CPE","CVE","CWE","Vulnerability","Source","CVSSv2_Severity","CVSSv2_Score","CVSSv2","CVSSv3_BaseSeverity","CVSSv3_BaseScore","CVSSv3","CVSSv4_BaseSeverity","CVSSv4_BaseScore","CVSSv4","CPE Confidence","Evidence Count","VendorProject","Product","Name","DateAdded","ShortDescription","RequiredAction","DueDate","Notes"
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",commons-lang3-3.13.0.jar,/home/srozange/.m2/repository/org/apache/commons/commons-lang3/3.13.0/commons-lang3-3.13.0.jar,"Apache Commons Lang, a package of Java utility classes for the   classes that are in java.lang's hierarchy, or are considered to be so   standard as to justify existence in java.lang.",https://www.apache.org/licenses/LICENSE-2.0.txt,3435b913691a5c1b173485a49850b1a8,b7263237aa89c1f99b327197c41d0669707a462e,pkg:maven/org.apache.commons/commons-lang3@3.13.0,cpe:2.3:a:apache:commons_lang:3.13.0:*:*:*:*:*:*:*,CVE-2025-48924,CWE-674 Uncontrolled Recursion,"Uncontrolled Recursion vulnerability in Apache Commons Lang.  This issue affects Apache Commons Lang: Starting with commons-lang:commons-lang 2.0 to 2.6, and, from org.apache.commons:commons-lang3 3.0 before 3.18.0.  The methods ClassUtils.getClass(...) can throw StackOverflowError on very long inputs. Because an Error is usually not handled by applications and libraries, a  StackOverflowError could cause an application to stop.  Users are recommended to upgrade to version 3.18.0, which fixes the issue.",NVD,"","","",MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L/E:3.9/RC:R/MAV:A,"","","",HIGH,143,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",jackson-databind-2.15.4.jar,/home/srozange/.m2/repository/com/fasterxml/jackson/core/jackson-databind/2.15.4/jackson-databind-2.15.4.jar,General data-binding functionality for Jackson: works on core streaming API,"The Apache Software License, Version 2.0: https://www.apache.org/licenses/LICENSE-2.0.txt",9c7db53b35761e502bc9144008503ad3,560309fc381f77d4d15c4a4cdaa0db5025c4fd13,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.15.4,"cpe:2.3:a:fasterxml:jackson-databind:2.15.4:*:*:*:*:*:*:*, cpe:2.3:a:fasterxml:jackson-modules-java8:2.15.4:*:*:*:*:*:*:*",CVE-2023-35116,CWE-770 Allocation of Resources Without Limits or Throttling,"jackson-databind through 2.15.2 allows attackers to cause a denial of service or other unspecified impact via a crafted object that uses cyclic dependencies. NOTE: the vendor's perspective is that this is not a valid vulnerability report, because the steps of constructing a cyclic data structure and trying to serialize it cannot be achieved by an external attacker.",NVD,"","","",MEDIUM,4.7,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:N/A:H/E:1.0/RC:R/MAV:A,"","","",HIGH,41,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",swagger-ui-5.13.0.jar: swagger-ui-bundle.js,/home/srozange/.m2/repository/org/webjars/swagger-ui/5.13.0/swagger-ui-5.13.0.jar/META-INF/resources/webjars/swagger-ui/5.13.0/swagger-ui-bundle.js,"","",337638f76099b9d57f1368646822360f,65111911db3acdc593ba2f70ac4cc5fe187a3c5a,pkg:javascript/DOMPurify@3.0.11,"",CVE-2024-45801,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-1333 Inefficient Regular Expression Complexity","DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. It has been discovered that malicious HTML using special nesting techniques can bypass the depth checking added to DOMPurify in recent releases. It was also possible to use Prototype Pollution to weaken the depth check. This renders dompurify unable to avoid cross site scripting (XSS) attacks. This issue has been addressed in versions 2.5.4 and 3.1.3 of DOMPurify. All users are advised to upgrade. There are no known workarounds for this vulnerability.",NVD,"","","",MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",swagger-ui-5.13.0.jar: swagger-ui-bundle.js,/home/srozange/.m2/repository/org/webjars/swagger-ui/5.13.0/swagger-ui-5.13.0.jar/META-INF/resources/webjars/swagger-ui/5.13.0/swagger-ui-bundle.js,"","",337638f76099b9d57f1368646822360f,65111911db3acdc593ba2f70ac4cc5fe187a3c5a,pkg:javascript/DOMPurify@3.0.11,"",CVE-2024-47875,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. DOMpurify was vulnerable to nesting-based mXSS. This vulnerability is fixed in 2.5.0 and 3.1.3.",NVD,"","","",MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",swagger-ui-5.13.0.jar: swagger-ui-bundle.js,/home/srozange/.m2/repository/org/webjars/swagger-ui/5.13.0/swagger-ui-5.13.0.jar/META-INF/resources/webjars/swagger-ui/5.13.0/swagger-ui-bundle.js,"","",337638f76099b9d57f1368646822360f,65111911db3acdc593ba2f70ac4cc5fe187a3c5a,pkg:javascript/DOMPurify@3.0.11,"",CVE-2025-26791,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"DOMPurify before 3.2.4 has an incorrect template literal regular expression, sometimes leading to mutation cross-site scripting (mXSS).",NVD,"","","",MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",swagger-ui-5.13.0.jar: swagger-ui-es-bundle.js,/home/srozange/.m2/repository/org/webjars/swagger-ui/5.13.0/swagger-ui-5.13.0.jar/META-INF/resources/webjars/swagger-ui/5.13.0/swagger-ui-es-bundle.js,"","",af6566ff69a28c107b2f5bfb84ffa1a5,968b64876f5f68cfa6866605c8b06ff5a0d033ab,pkg:javascript/DOMPurify@3.0.11,"",CVE-2024-45801,"CWE-1321 Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'), CWE-1333 Inefficient Regular Expression Complexity","DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. It has been discovered that malicious HTML using special nesting techniques can bypass the depth checking added to DOMPurify in recent releases. It was also possible to use Prototype Pollution to weaken the depth check. This renders dompurify unable to avoid cross site scripting (XSS) attacks. This issue has been addressed in versions 2.5.4 and 3.1.3 of DOMPurify. All users are advised to upgrade. There are no known workarounds for this vulnerability.",NVD,"","","",MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",swagger-ui-5.13.0.jar: swagger-ui-es-bundle.js,/home/srozange/.m2/repository/org/webjars/swagger-ui/5.13.0/swagger-ui-5.13.0.jar/META-INF/resources/webjars/swagger-ui/5.13.0/swagger-ui-es-bundle.js,"","",af6566ff69a28c107b2f5bfb84ffa1a5,968b64876f5f68cfa6866605c8b06ff5a0d033ab,pkg:javascript/DOMPurify@3.0.11,"",CVE-2024-47875,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"DOMPurify is a DOM-only, super-fast, uber-tolerant XSS sanitizer for HTML, MathML and SVG. DOMpurify was vulnerable to nesting-based mXSS. This vulnerability is fixed in 2.5.0 and 3.1.3.",NVD,"","","",MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",swagger-ui-5.13.0.jar: swagger-ui-es-bundle.js,/home/srozange/.m2/repository/org/webjars/swagger-ui/5.13.0/swagger-ui-5.13.0.jar/META-INF/resources/webjars/swagger-ui/5.13.0/swagger-ui-es-bundle.js,"","",af6566ff69a28c107b2f5bfb84ffa1a5,968b64876f5f68cfa6866605c8b06ff5a0d033ab,pkg:javascript/DOMPurify@3.0.11,"",CVE-2025-26791,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),"DOMPurify before 3.2.4 has an incorrect template literal regular expression, sometimes leading to mutation cross-site scripting (mXSS).",NVD,"","","",MEDIUM,6.1,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N/E:2.8/RC:R/MAV:A,"","","",HIGHEST,3,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",tomcat-embed-core-10.1.33.jar,/home/srozange/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.33/tomcat-embed-core-10.1.33.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",48ee7e18b3dd003d03189906ace0b413,d4d10b953164db057e4a803506e4552731e5a6a0,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.33,"cpe:2.3:a:apache:tomcat:10.1.33:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:10.1.33:*:*:*:*:*:*:*",CVE-2024-50379,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,"Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability during JSP compilation in Apache Tomcat permits an RCE on case insensitive file systems when the default servlet is enabled for write (non-default configuration).  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.1, from 10.1.0-M1 through 10.1.33, from 9.0.0.M1 through 9.0.97.  The following versions were EOL at the time the CVE was created but are  known to be affected: 8.5.0 though 8.5.100. Other, older, EOL versions may also be affected.  Users are recommended to upgrade to version 11.0.2, 10.1.34 or 9.0.98, which fixes the issue.",NVD,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,63,"","","","","","","",""
customer-service,"Fri, 26 Dec 2025 14:15:04 +0100",tomcat-embed-core-10.1.33.jar,/home/srozange/.m2/repository/org/apache/tomcat/embed/tomcat-embed-core/10.1.33/tomcat-embed-core-10.1.33.jar,Core Tomcat implementation,"Apache License, Version 2.0: http://www.apache.org/licenses/LICENSE-2.0.txt",48ee7e18b3dd003d03189906ace0b413,d4d10b953164db057e4a803506e4552731e5a6a0,pkg:maven/org.apache.tomcat.embed/tomcat-embed-core@10.1.33,"cpe:2.3:a:apache:tomcat:10.1.33:*:*:*:*:*:*:*, cpe:2.3:a:apache_tomcat:apache_tomcat:10.1.33:*:*:*:*:*:*:*",CVE-2024-56337,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,"Time-of-check Time-of-use (TOCTOU) Race Condition vulnerability in Apache Tomcat.  This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.1, from 10.1.0-M1 through 10.1.33, from 9.0.0.M1 through 9.0.97. The following versions were EOL at the time the CVE was created but are  known to be affected: 8.5.0 though 8.5.100. Other, older, EOL versions  may also be affected.   The mitigation for CVE-2024-50379 was incomplete.  Users running Tomcat on a case insensitive file system with the default servlet write enabled (readonly initialisation  parameter set to the non-default value of false) may need additional configuration to fully mitigate CVE-2024-50379 depending on which version of Java they are using with Tomcat: - running on Java 8 or Java 11: the system property sun.io.useCanonCaches must be explicitly set to false (it defaults to true) - running on Java 17: the system property sun.io.useCanonCaches, if set, must be set to false (it defaults to false) - running on Java 21 onwards: no further configuration is required (the system property and the problematic cache have been removed)  Tomcat 11.0.3, 10.1.35 and 9.0.99 onwards will include checks that sun.io.useCanonCaches is set appropriately before allowing the default servlet to be write enabled on a case insensitive file system. Tomcat will also set sun.io.useCanonCaches to false by default where it can.",NVD,"","","",CRITICAL,9.8,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H/E:3.9/RC:R/MAV:A,"","","",HIGH,63,"","","","","","","",""
